Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,086071,1910,01,01,0.0,,Y
IDCJAC0009,086071,1910,01,02,0.0,,Y
IDCJAC0009,086071,1910,01,03,0.0,,Y
IDCJAC0009,086071,1910,01,04,0.5,1,Y
IDCJAC0009,086071,1910,01,05,0.0,,Y
IDCJAC0009,086071,1910,01,06,0.0,,Y
IDCJAC0009,086071,1910,01,07,0.0,,Y
IDCJAC0009,086071,1910,01,08,0.0,,Y
IDCJAC0009,086071,1910,01,09,0.0,,Y
IDCJAC0009,086071,1910,01,10,0.8,1,Y
IDCJAC0009,086071,1910,01,11,0.5,1,Y
IDCJAC0009,086071,1910,01,12,0.0,,Y
IDCJAC0009,086071,1910,01,13,0.0,,Y
IDCJAC0009,086071,1910,01,14,1.3,1,Y
IDCJAC0009,086071,1910,01,15,9.4,1,Y
IDCJAC0009,086071,1910,01,16,3.3,1,Y
IDCJAC0009,086071,1910,01,17,2.5,1,Y
IDCJAC0009,086071,1910,01,18,3.8,1,Y
IDCJAC0009,086071,1910,01,19,0.0,,Y
IDCJAC0009,086071,1910,01,20,0.0,,Y
IDCJAC0009,086071,1910,01,21,0.0,,Y
IDCJAC0009,086071,1910,01,22,1.5,1,Y
IDCJAC0009,086071,1910,01,23,0.8,1,Y
IDCJAC0009,086071,1910,01,24,0.0,,Y
IDCJAC0009,086071,1910,01,25,0.0,,Y
IDCJAC0009,086071,1910,01,26,0.0,,Y
IDCJAC0009,086071,1910,01,27,0.5,1,Y
IDCJAC0009,086071,1910,01,28,0.0,,Y
IDCJAC0009,086071,1910,01,29,0.0,,Y
IDCJAC0009,086071,1910,01,30,0.0,,Y
IDCJAC0009,086071,1910,01,31,0.0,,Y
IDCJAC0009,086071,1910,02,01,0.0,,Y
IDCJAC0009,086071,1910,02,02,0.0,,Y
IDCJAC0009,086071,1910,02,03,0.0,,Y
IDCJAC0009,086071,1910,02,04,0.3,1,Y
IDCJAC0009,086071,1910,02,05,0.8,1,Y
IDCJAC0009,086071,1910,02,06,0.0,,Y
IDCJAC0009,086071,1910,02,07,7.9,1,Y
IDCJAC0009,086071,1910,02,08,0.0,,Y
IDCJAC0009,086071,1910,02,09,0.0,,Y
IDCJAC0009,086071,1910,02,10,0.0,,Y
IDCJAC0009,086071,1910,02,11,0.3,1,Y
IDCJAC0009,086071,1910,02,12,0.0,,Y
IDCJAC0009,086071,1910,02,13,0.0,,Y
IDCJAC0009,086071,1910,02,14,0.0,,Y
IDCJAC0009,086071,1910,02,15,0.0,,Y
IDCJAC0009,086071,1910,02,16,0.0,,Y
IDCJAC0009,086071,1910,02,17,0.0,,Y
IDCJAC0009,086071,1910,02,18,0.0,,Y
IDCJAC0009,086071,1910,02,19,0.0,,Y
IDCJAC0009,086071,1910,02,20,0.0,,Y
IDCJAC0009,086071,1910,02,21,0.0,,Y
IDCJAC0009,086071,1910,02,22,0.0,,Y
IDCJAC0009,086071,1910,02,23,0.5,1,Y
IDCJAC0009,086071,1910,02,24,0.0,,Y
IDCJAC0009,086071,1910,02,25,0.0,,Y
IDCJAC0009,086071,1910,02,26,0.0,,Y
IDCJAC0009,086071,1910,02,27,0.0,,Y
IDCJAC0009,086071,1910,02,28,0.0,,Y
IDCJAC0009,086071,1910,03,01,0.0,,Y
IDCJAC0009,086071,1910,03,02,0.0,,Y
IDCJAC0009,086071,1910,03,03,0.0,,Y
IDCJAC0009,086071,1910,03,04,0.0,,Y
IDCJAC0009,086071,1910,03,05,0.0,,Y
IDCJAC0009,086071,1910,03,06,17.0,1,Y
IDCJAC0009,086071,1910,03,07,21.8,1,Y
IDCJAC0009,086071,1910,03,08,7.4,1,Y
IDCJAC0009,086071,1910,03,09,7.1,1,Y
IDCJAC0009,086071,1910,03,10,1.0,1,Y
IDCJAC0009,086071,1910,03,11,0.0,,Y
IDCJAC0009,086071,1910,03,12,0.0,,Y
IDCJAC0009,086071,1910,03,13,1.0,1,Y
IDCJAC0009,086071,1910,03,14,0.0,,Y
IDCJAC0009,086071,1910,03,15,0.0,,Y
IDCJAC0009,086071,1910,03,16,0.3,1,Y
IDCJAC0009,086071,1910,03,17,0.0,,Y
IDCJAC0009,086071,1910,03,18,0.0,,Y
IDCJAC0009,086071,1910,03,19,0.0,,Y
IDCJAC0009,086071,1910,03,20,0.0,,Y
IDCJAC0009,086071,1910,03,21,0.0,,Y
IDCJAC0009,086071,1910,03,22,0.0,,Y
IDCJAC0009,086071,1910,03,23,0.0,,Y
IDCJAC0009,086071,1910,03,24,0.0,,Y
IDCJAC0009,086071,1910,03,25,0.0,,Y
IDCJAC0009,086071,1910,03,26,0.0,,Y
IDCJAC0009,086071,1910,03,27,0.0,,Y
IDCJAC0009,086071,1910,03,28,0.0,,Y
IDCJAC0009,086071,1910,03,29,0.0,,Y
IDCJAC0009,086071,1910,03,30,0.0,,Y
IDCJAC0009,086071,1910,03,31,0.0,,Y
IDCJAC0009,086071,1910,04,01,2.3,1,Y
IDCJAC0009,086071,1910,04,02,0.3,1,Y
IDCJAC0009,086071,1910,04,03,1.3,1,Y
IDCJAC0009,086071,1910,04,04,0.5,1,Y
IDCJAC0009,086071,1910,04,05,0.0,,Y
IDCJAC0009,086071,1910,04,06,0.0,,Y
IDCJAC0009,086071,1910,04,07,0.0,,Y
IDCJAC0009,086071,1910,04,08,0.0,,Y
IDCJAC0009,086071,1910,04,09,0.0,,Y
IDCJAC0009,086071,1910,04,10,0.3,1,Y
IDCJAC0009,086071,1910,04,11,0.0,,Y
IDCJAC0009,086071,1910,04,12,0.8,1,Y
IDCJAC0009,086071,1910,04,13,1.5,1,Y
IDCJAC0009,086071,1910,04,14,5.1,1,Y
IDCJAC0009,086071,1910,04,15,0.0,,Y
IDCJAC0009,086071,1910,04,16,0.0,,Y
IDCJAC0009,086071,1910,04,17,0.0,,Y
IDCJAC0009,086071,1910,04,18,0.0,,Y
IDCJAC0009,086071,1910,04,19,0.3,1,Y
IDCJAC0009,086071,1910,04,20,0.0,,Y
IDCJAC0009,086071,1910,04,21,0.0,,Y
IDCJAC0009,086071,1910,04,22,0.0,,Y
IDCJAC0009,086071,1910,04,23,0.0,,Y
IDCJAC0009,086071,1910,04,24,0.5,1,Y
IDCJAC0009,086071,1910,04,25,0.0,,Y
IDCJAC0009,086071,1910,04,26,8.6,1,Y
IDCJAC0009,086071,1910,04,27,0.0,,Y
IDCJAC0009,086071,1910,04,28,0.5,1,Y
IDCJAC0009,086071,1910,04,29,1.5,1,Y
IDCJAC0009,086071,1910,04,30,0.3,1,Y
IDCJAC0009,086071,1910,05,01,0.0,,Y
IDCJAC0009,086071,1910,05,02,0.0,,Y
IDCJAC0009,086071,1910,05,03,0.8,1,Y
IDCJAC0009,086071,1910,05,04,0.0,,Y
IDCJAC0009,086071,1910,05,05,0.3,1,Y
IDCJAC0009,086071,1910,05,06,1.0,1,Y
IDCJAC0009,086071,1910,05,07,0.3,1,Y
IDCJAC0009,086071,1910,05,08,0.0,,Y
IDCJAC0009,086071,1910,05,09,7.1,1,Y
IDCJAC0009,086071,1910,05,10,0.5,1,Y
IDCJAC0009,086071,1910,05,11,0.0,,Y
IDCJAC0009,086071,1910,05,12,1.5,1,Y
IDCJAC0009,086071,1910,05,13,1.8,1,Y
IDCJAC0009,086071,1910,05,14,1.5,1,Y
IDCJAC0009,086071,1910,05,15,0.0,,Y
IDCJAC0009,086071,1910,05,16,5.1,1,Y
IDCJAC0009,086071,1910,05,17,0.5,1,Y
IDCJAC0009,086071,1910,05,18,6.1,1,Y
IDCJAC0009,086071,1910,05,19,2.0,1,Y
IDCJAC0009,086071,1910,05,20,0.0,,Y
IDCJAC0009,086071,1910,05,21,1.8,1,Y
IDCJAC0009,086071,1910,05,22,0.0,,Y
IDCJAC0009,086071,1910,05,23,0.0,,Y
IDCJAC0009,086071,1910,05,24,8.9,1,Y
IDCJAC0009,086071,1910,05,25,0.8,1,Y
IDCJAC0009,086071,1910,05,26,0.5,1,Y
