date,maximum temperature (degC),site number,site name
,,86338,MELBOURNE (OLYMPIC PARK)
1/1/10,28.9,,
2/1/10,38.2,,
3/1/10,36.2,,
4/1/10,21.1,,
5/1/10,27.6,,
6/1/10,31.6,,
7/1/10,27.9,,
8/1/10,35.7,,
9/1/10,26.6,,
10/1/10,17.3,,
11/1/10,19.9,,
12/1/10,22.6,,
13/1/10,20.7,,
14/1/10,23.8,,
15/1/10,19.7,,
16/1/10,19.9,,
17/1/10,18,,
18/1/10,20.6,,
19/1/10,34.4,,
20/1/10,21.1,,
21/1/10,19.3,,
22/1/10,17.7,,
23/1/10,20.4,,
24/1/10,31.6,,
25/1/10,40.6,,
26/1/10,21.5,,
27/1/10,19.9,,
28/1/10,21.4,,
29/1/10,27.3,,
30/1/10,27.3,,
31/1/10,28,,
1/2/10,35.8,,
2/2/10,36.9,,
3/2/10,21.7,,
4/2/10,21.6,,
5/2/10,18.8,,
6/2/10,22.9,,
7/2/10,21.9,,
8/2/10,22.4,,
9/2/10,20,,
10/2/10,18.6,,
11/2/10,19.1,,
12/2/10,18.6,,
13/2/10,21.8,,
14/2/10,29.5,,
15/2/10,35.6,,
16/2/10,37.4,,
17/2/10,21.8,,
18/2/10,25.1,,
19/2/10,39,,
20/2/10,38.9,,
21/2/10,36.9,,
22/2/10,38.1,,
23/2/10,22.2,,
24/2/10,20.9,,
25/2/10,19.3,,
26/2/10,20.6,,
27/2/10,21.9,,
28/2/10,35.1,,
1/3/10,22.6,,
2/3/10,18,,
3/3/10,20.8,,
4/3/10,28.4,,
5/3/10,24.1,,
6/3/10,17.1,,
7/3/10,23.7,,
8/3/10,16.6,,
9/3/10,15,,
10/3/10,18.9,,
11/3/10,20.3,,
12/3/10,20.2,,
13/3/10,17,,
14/3/10,17.5,,
15/3/10,19.3,,
16/3/10,23.6,,
17/3/10,27.4,,
18/3/10,32.1,,
19/3/10,20.1,,
20/3/10,20,,
21/3/10,27.4,,
22/3/10,33.6,,
23/3/10,35.3,,
24/3/10,33.3,,
25/3/10,32.4,,
26/3/10,19,,
27/3/10,25.6,,
28/3/10,29,,
29/3/10,27.3,,
30/3/10,29.5,,
31/3/10,27.2,,
1/4/10,21.6,,
2/4/10,17.4,,
3/4/10,17.6,,
4/4/10,17.7,,
5/4/10,19.5,,
6/4/10,27.4,,
7/4/10,27.2,,
8/4/10,26.4,,
9/4/10,19.6,,
10/4/10,19.8,,
11/4/10,18,,
12/4/10,16.5,,
13/4/10,16.6,,
14/4/10,17.9,,
15/4/10,17.7,,
16/4/10,17.9,,
17/4/10,26.3,,
18/4/10,24.3,,
19/4/10,20.7,,
20/4/10,25.3,,
21/4/10,26.4,,
22/4/10,20.5,,
23/4/10,27.8,,
24/4/10,24.5,,
25/4/10,29.3,,
26/4/10,17.7,,
27/4/10,16.3,,
28/4/10,21.7,,
29/4/10,17.6,,
30/4/10,20.4,,
1/5/10,21.6,,
2/5/10,17.6,,
3/5/10,17.4,,
4/5/10,19.2,,
5/5/10,16.6,,
6/5/10,20.6,,
7/5/10,21.2,,
8/5/10,21.5,,
9/5/10,16.7,,
10/5/10,16.7,,
11/5/10,19.2,,
12/5/10,16.6,,
13/5/10,13.1,,
14/5/10,13.7,,
15/5/10,16.1,,
16/5/10,16.3,,
17/5/10,21.2,,
18/5/10,21.2,,
19/5/10,14.8,,
20/5/10,19.8,,
21/5/10,16,,
22/5/10,16.2,,
23/5/10,16.3,,
24/5/10,19.2,,
25/5/10,19.4,,
26/5/10,21.5,,
27/5/10,16.2,,
28/5/10,16.8,,
29/5/10,16.2,,
30/5/10,15.1,,
31/5/10,17.3,,
1/6/10,16.1,,
2/6/10,11.4,,
3/6/10,9.9,,
4/6/10,11.2,,
5/6/10,12.7,,
6/6/10,16.1,,
7/6/10,14.4,,
8/6/10,13.9,,
9/6/10,15,,
10/6/10,14,,
11/6/10,14.3,,
12/6/10,16.8,,
13/6/10,16.1,,
14/6/10,13.3,,
15/6/10,12,,
16/6/10,14.6,,
17/6/10,16.9,,
18/6/10,14.3,,
19/6/10,16.1,,
20/6/10,15.9,,
21/6/10,15.1,,
22/6/10,19.9,,
23/6/10,17.4,,
24/6/10,15.5,,
25/6/10,14.2,,
26/6/10,13,,
27/6/10,14.1,,
28/6/10,14.3,,
29/6/10,16.8,,
30/6/10,14.1,,
1/7/10,14.9,,
2/7/10,12.6,,
3/7/10,12.3,,
4/7/10,13.9,,
5/7/10,14.3,,
6/7/10,12.9,,
7/7/10,14.1,,
8/7/10,10.4,,
9/7/10,11.4,,
10/7/10,11.2,,
11/7/10,13.1,,
12/7/10,16.3,,
13/7/10,15.2,,
14/7/10,12,,
15/7/10,12.1,,
16/7/10,11.4,,
17/7/10,11.4,,
18/7/10,12.5,,
19/7/10,13.7,,
20/7/10,12.4,,
21/7/10,14.1,,
22/7/10,8.8,,
23/7/10,11.7,,
24/7/10,14.3,,
25/7/10,13.3,,
26/7/10,11.1,,
27/7/10,14,,
28/7/10,14.8,,
29/7/10,13.8,,
30/7/10,14,,
31/7/10,12.4,,
1/8/10,10.5,,
2/8/10,12.2,,
3/8/10,14.5,,
4/8/10,14.2,,
5/8/10,15,,
6/8/10,15,,
7/8/10,14.2,,
8/8/10,15.4,,
9/8/10,15.3,,
10/8/10,14.8,,
11/8/10,16,,
12/8/10,15.4,,
13/8/10,17.9,,
14/8/10,14.2,,
15/8/10,17.5,,
16/8/10,17.4,,
17/8/10,16.2,,
18/8/10,14,,
19/8/10,15,,
20/8/10,15.5,,
21/8/10,14.7,,
22/8/10,13.7,,
23/8/10,17.4,,
24/8/10,15,,
25/8/10,11.9,,
26/8/10,12.9,,
27/8/10,14.2,,
28/8/10,17.6,,
29/8/10,18,,
30/8/10,16,,
31/8/10,16.2,,
1/9/10,17.6,,
2/9/10,18.7,,
3/9/10,16.7,,
4/9/10,17.9,,
5/9/10,17.6,,
6/9/10,17.7,,
7/9/10,20.2,,
8/9/10,14,,
9/9/10,19.4,,
10/9/10,14.3,,
11/9/10,16.5,,
12/9/10,15.1,,
13/9/10,13.6,,
14/9/10,16.7,,
15/9/10,16.8,,
16/9/10,13.8,,
17/9/10,16.8,,
18/9/10,17.6,,
19/9/10,16.5,,
20/9/10,17.1,,
21/9/10,14.1,,
22/9/10,14.3,,
23/9/10,15.4,,
24/9/10,23.6,,
25/9/10,22.8,,
26/9/10,15.8,,
27/9/10,12.2,,
28/9/10,12.9,,
29/9/10,15.8,,
30/9/10,18.6,,
1/10/10,20,,
2/10/10,17.9,,
3/10/10,17,,
4/10/10,15.7,,
5/10/10,13.5,,
6/10/10,13.5,,
7/10/10,15.8,,
8/10/10,16.7,,
9/10/10,12.6,,
10/10/10,11.8,,
11/10/10,13,,
12/10/10,14.6,,
13/10/10,14.5,,
14/10/10,17.9,,
15/10/10,25.6,,
16/10/10,20.3,,
17/10/10,27.9,,
18/10/10,17,,
19/10/10,17.3,,
20/10/10,14.5,,
21/10/10,14.6,,
22/10/10,16.2,,
23/10/10,21.6,,
24/10/10,28.2,,
25/10/10,15.8,,
26/10/10,14.6,,
27/10/10,16.2,,
28/10/10,14.5,,
29/10/10,15.1,,
30/10/10,15.7,,
31/10/10,16.7,,
1/11/10,23.2,,
2/11/10,24.2,,
3/11/10,22.6,,
4/11/10,17,,
5/11/10,23.2,,
6/11/10,17.4,,
7/11/10,20.7,,
8/11/10,23.8,,
9/11/10,28.9,,
10/11/10,30.5,,
11/11/10,15.7,,
12/11/10,15.4,,
13/11/10,16.2,,
14/11/10,16.3,,
15/11/10,24.9,,
16/11/10,30.4,,
17/11/10,31.5,,
18/11/10,21.8,,
19/11/10,23.2,,
20/11/10,15.7,,
21/11/10,18.2,,
22/11/10,21.9,,
23/11/10,28,,
24/11/10,17.4,,
25/11/10,15.8,,
26/11/10,18.8,,
27/11/10,24.2,,
28/11/10,26.4,,
29/11/10,22.8,,
30/11/10,26.9,,
1/12/10,17.5,,
2/12/10,17.3,,
3/12/10,20.3,,
4/12/10,20.4,,
5/12/10,20.4,,
6/12/10,22.4,,
7/12/10,29.5,,
8/12/10,33,,
9/12/10,30.5,,
10/12/10,17.8,,
11/12/10,17.6,,
12/12/10,24.8,,
13/12/10,20.4,,
14/12/10,25.5,,
15/12/10,22.8,,
16/12/10,20.9,,
17/12/10,22.9,,
18/12/10,15.5,,
19/12/10,20.3,,
20/12/10,14.8,,
21/12/10,23.5,,
22/12/10,19.8,,
23/12/10,17,,
24/12/10,17.6,,
25/12/10,18.8,,
26/12/10,30.9,,
27/12/10,22.8,,
28/12/10,25.6,,
29/12/10,34.2,,
30/12/10,18.1,,
31/12/10,17.6,,
