date,minimum temperature (degC),site number,site name
,,86338,MELBOURNE (OLYMPIC PARK)
1/1/09,14.2,,
2/1/09,9.5,,
3/1/09,8.7,,
4/1/09,11.1,,
5/1/09,13,,
6/1/09,15.4,,
7/1/09,16.9,,
8/1/09,12.1,,
9/1/09,12.1,,
10/1/09,12.8,,
11/1/09,13.7,,
12/1/09,13.1,,
13/1/09,13.3,,
14/1/09,19.5,,
15/1/09,15.1,,
16/1/09,14.4,,
17/1/09,14,,
18/1/09,11.6,,
19/1/09,13.1,,
20/1/09,19,,
21/1/09,16.7,,
22/1/09,17.3,,
23/1/09,14.2,,
24/1/09,15.7,,
25/1/09,12.5,,
26/1/09,13.9,,
27/1/09,15.9,,
28/1/09,18.2,,
29/1/09,24.5,,
30/1/09,24.5,,
31/1/09,21.3,,
1/2/09,19.9,,
2/2/09,20.2,,
3/2/09,20,,
4/2/09,16.4,,
5/2/09,19.6,,
6/2/09,17.7,,
7/2/09,18.7,,
8/2/09,18.5,,
9/2/09,15.6,,
10/2/09,13.4,,
11/2/09,13.7,,
12/2/09,13.8,,
13/2/09,12.3,,
14/2/09,13.3,,
15/2/09,14.4,,
16/2/09,15.4,,
17/2/09,15.3,,
18/2/09,16.4,,
19/2/09,16.3,,
20/2/09,17.7,,
21/2/09,17.3,,
22/2/09,16.4,,
23/2/09,15.8,,
24/2/09,13.6,,
25/2/09,13.4,,
26/2/09,13.5,,
27/2/09,13.7,,
28/2/09,15.6,,
1/3/09,14,,
2/3/09,15,,
3/3/09,16.7,,
4/3/09,13.6,,
5/3/09,11.9,,
6/3/09,12.1,,
7/3/09,12.4,,
8/3/09,14.1,,
9/3/09,9.1,,
10/3/09,12.8,,
11/3/09,15.3,,
12/3/09,18,,
13/3/09,17.5,,
14/3/09,18.5,,
15/3/09,11.4,,
16/3/09,12.2,,
17/3/09,13.6,,
18/3/09,13.8,,
19/3/09,14.1,,
20/3/09,16.7,,
21/3/09,15.2,,
22/3/09,19.3,,
23/3/09,14.1,,
24/3/09,13.4,,
25/3/09,15.3,,
26/3/09,15.2,,
27/3/09,12.2,,
28/3/09,9.1,,
29/3/09,10.7,,
30/3/09,13.6,,
31/3/09,14,,
1/4/09,15,,
2/4/09,16.9,,
3/4/09,20.2,,
4/4/09,10.8,,
5/4/09,11.7,,
6/4/09,8.1,,
7/4/09,10.9,,
8/4/09,11.4,,
9/4/09,13,,
10/4/09,13.6,,
11/4/09,14.4,,
12/4/09,11.4,,
13/4/09,8.9,,
14/4/09,11.3,,
15/4/09,12.3,,
16/4/09,6.2,,
17/4/09,12.7,,
18/4/09,13.3,,
19/4/09,13.8,,
20/4/09,7.6,,
21/4/09,8.4,,
22/4/09,8.9,,
23/4/09,10.8,,
24/4/09,14.8,,
25/4/09,11.4,,
26/4/09,8,,
27/4/09,7.3,,
28/4/09,6.6,,
29/4/09,4.9,,
30/4/09,1.8,,
1/5/09,5.7,,
2/5/09,7.1,,
3/5/09,5.7,,
4/5/09,8.4,,
5/5/09,6.6,,
6/5/09,8.2,,
7/5/09,10.6,,
8/5/09,12.6,,
9/5/09,12.9,,
10/5/09,10.7,,
11/5/09,8.1,,
12/5/09,9.3,,
13/5/09,9.5,,
14/5/09,12.4,,
15/5/09,14.3,,
16/5/09,11.1,,
17/5/09,11.3,,
18/5/09,8.2,,
19/5/09,8.1,,
20/5/09,8.7,,
21/5/09,8.9,,
22/5/09,5.7,,
23/5/09,6.9,,
24/5/09,11.1,,
25/5/09,17.6,,
26/5/09,12.7,,
27/5/09,7.2,,
28/5/09,9.3,,
29/5/09,6,,
30/5/09,8.5,,
31/5/09,6.1,,
1/6/09,6.6,,
2/6/09,10.2,,
3/6/09,11.7,,
4/6/09,12.1,,
5/6/09,6.7,,
6/6/09,5.2,,
7/6/09,6.7,,
8/6/09,10.1,,
9/6/09,7,,
10/6/09,5.4,,
11/6/09,5.7,,
12/6/09,5,,
13/6/09,6.7,,
14/6/09,7.8,,
15/6/09,5.3,,
16/6/09,7,,
17/6/09,5.7,,
18/6/09,4.3,,
19/6/09,4.7,,
20/6/09,6.7,,
21/6/09,10.7,,
22/6/09,10,,
23/6/09,8.3,,
24/6/09,10.9,,
25/6/09,5.2,,
26/6/09,7,,
27/6/09,7.4,,
28/6/09,4.6,,
29/6/09,5.3,,
30/6/09,12.7,,
1/7/09,10.8,,
2/7/09,9.5,,
3/7/09,7.9,,
4/7/09,8.8,,
5/7/09,8.7,,
6/7/09,6.7,,
7/7/09,7.3,,
8/7/09,3.2,,
9/7/09,4,,
10/7/09,5.4,,
11/7/09,9.2,,
12/7/09,10.7,,
13/7/09,8.9,,
14/7/09,7.9,,
15/7/09,8.9,,
16/7/09,6.2,,
17/7/09,4.7,,
18/7/09,6.3,,
19/7/09,7.9,,
20/7/09,10.7,,
21/7/09,12.7,,
22/7/09,12.2,,
23/7/09,6.7,,
24/7/09,3.7,,
25/7/09,5.4,,
26/7/09,7,,
27/7/09,8.5,,
28/7/09,8.2,,
29/7/09,9.3,,
30/7/09,10,,
31/7/09,9.2,,
1/8/09,10.5,,
2/8/09,11.2,,
3/8/09,8.7,,
4/8/09,8.2,,
5/8/09,8,,
6/8/09,10,,
7/8/09,11,,
8/8/09,3.2,,
9/8/09,6.5,,
10/8/09,9,,
11/8/09,9.3,,
12/8/09,6,,
13/8/09,9.2,,
14/8/09,8.8,,
15/8/09,10.4,,
